xp,yp,Hour,ymdh,zp
284516.54476758913,2276081.9035261674,hour=71,ymd=2022072013_50,50.0
289350.104106129,2273715.6941631166,hour=72,ymd=2022072012_50,50.0
294580.9332914062,2271192.13293426,hour=73,ymd=2022072011_50,50.0
299639.9860923149,2268484.290070954,hour=74,ymd=2022072010_50,50.0
304551.08648152725,2266057.7513515977,hour=75,ymd=2022072009_50,50.0
309520.11081107036,2263903.1932508675,hour=76,ymd=2022072008_50,50.0
314220.9970839776,2261478.4838737575,hour=77,ymd=2022072007_50,50.0
318567.9702060081,2258576.958163987,hour=78,ymd=2022072006_50,50.0
322985.42891085224,2255231.1579152597,hour=79,ymd=2022072005_50,50.0
327966.0834141381,2250816.7508728458,hour=80,ymd=2022072004_50,50.0
332742.72264614777,2245064.5131660355,hour=81,ymd=2022072003_50,50.0
337224.19454735593,2238812.552022214,hour=82,ymd=2022072002_50,50.0
342080.87357819156,2232362.9521734966,hour=83,ymd=2022072001_50,50.0
348224.513613493,2225790.3922536327,hour=84,ymd=2022072000_50,50.0
354922.6156212397,2220922.492706771,hour=85,ymd=2022071923_50,50.0
361811.00992831663,2217538.463149431,hour=86,ymd=2022071922_50,50.0
369280.3704271026,2214873.5116796447,hour=87,ymd=2022071921_50,50.0
376042.9001537271,2212900.9068853287,hour=88,ymd=2022071920_50,50.0
382631.6535365291,2210792.525725498,hour=89,ymd=2022071919_50,50.0
389791.7831511207,2209117.960603728,hour=90,ymd=2022071918_50,50.0
396790.027549953,2207589.494691889,hour=91,ymd=2022071917_50,50.0
403257.8009692438,2206305.114444974,hour=92,ymd=2022071916_50,50.0
409884.7191699155,2204498.7157737194,hour=93,ymd=2022071915_50,50.0
415931.4489354648,2202321.2703545047,hour=94,ymd=2022071914_50,50.0
421132.83729757444,2200057.1231405763,hour=95,ymd=2022071913_50,50.0
428642.0188799061,2200738.142302758,hour=96,ymd=2022071912_50,50.0
435598.164421276,2201746.220033101,hour=97,ymd=2022071911_50,50.0
441658.0581410684,2202962.218741729,hour=98,ymd=2022071910_50,50.0
447220.3912708171,2204032.350939422,hour=99,ymd=2022071909_50,50.0
452170.7436572023,2204268.876665284,hour=100,ymd=2022071908_50,50.0
456867.12399007456,2203618.9200088745,hour=101,ymd=2022071907_50,50.0
461462.74441905395,2202115.228351704,hour=102,ymd=2022071906_50,50.0
466158.2881390311,2199753.7775377696,hour=103,ymd=2022071905_50,50.0
471209.3063112356,2196572.33589252,hour=104,ymd=2022071904_50,50.0
