lng,lat,Title,VI,date
120.44748582739386,23.640797607572274,71,165.7,2022-04-17 13:00:00
120.42500236968888,23.636906325892085,72,159.4,2022-04-17 12:00:00
120.41151863262944,23.63704692191844,73,132.6,2022-04-17 11:00:00
120.41190023358024,23.64062658504887,74,189.6,2022-04-17 10:00:00
120.41196272209812,23.643070270351068,75,263.9,2022-04-17 09:00:00
120.41579352384116,23.64258394502765,76,271.8,2022-04-17 08:00:00
120.42430236853808,23.64221343080193,77,224.9,2022-04-17 07:00:00
120.43547043985124,23.641358842764276,78,127.5,2022-04-17 06:00:00
120.44846590102026,23.63699813849952,79,67.5,2022-04-17 05:00:00
120.46213253233948,23.637014503075488,80,62.4,2022-04-17 04:00:00
120.47999153024546,23.64081591785325,81,59.1,2022-04-17 03:00:00
120.5066394532606,23.658076746092437,82,49.4,2022-04-17 02:00:00
120.522834145881,23.681074900483857,83,38.0,2022-04-17 01:00:00
120.53803120080195,23.699072907394942,84,33.4,2022-04-17 00:00:00
120.5603318548247,23.708473308528784,85,32.5,2022-04-16 23:00:00
120.57809401463884,23.706804777274343,86,20.1,2022-04-16 22:00:00
120.59518722152905,23.702653241303864,87,4.9,2022-04-16 21:00:00
120.6110071697681,23.70069690830284,88,8.1,2022-04-16 20:00:00
120.62806770932858,23.695670963091445,89,14.0,2022-04-16 19:00:00
120.64711675674096,23.69215358027002,90,22.3,2022-04-16 18:00:00
120.66357948782353,23.691340762384584,91,27.4,2022-04-16 17:00:00
120.67891196890012,23.690446720737427,92,33.9,2022-04-16 16:00:00
120.69560032440144,23.68880942720785,93,35.5,2022-04-16 15:00:00
120.71244261615588,23.68684871676996,94,877.3,2022-04-16 14:00:00
120.7322737930284,23.67611503939216,95,76.1,2022-04-16 13:00:00
120.74767156105096,23.671243772155545,96,81.4,2022-04-16 12:00:00
120.77353153518804,23.665888166540967,97,70.4,2022-04-16 11:00:00
120.79635853033824,23.667304151640973,98,51.2,2022-04-16 10:00:00
120.8136389370584,23.66938113455515,99,43.1,2022-04-16 09:00:00
120.82574817163334,23.672861779141208,100,38.5,2022-04-16 08:00:00
120.8368921868293,23.676044055445576,101,35.6,2022-04-16 07:00:00
120.84959545513424,23.67792360752514,102,34.8,2022-04-16 06:00:00
